platform,query_name,tpch_ref,category,scale_factor,run_number,exec_time_s,mean_time_s,std_time_s,min_time_s,max_time_s,memory_before_mb,memory_after_mb,memory_delta_mb,network_rtt_ms,timestamp
motherduck,Q6_simple,Q6,simple_select,1,1,0.207164,0.211037,0.002933,0.206993,0.21546,0,0,0,108.71,2026-04-25 09:44:46
motherduck,Q6_simple,Q6,simple_select,1,2,0.206993,0.211037,0.002933,0.206993,0.21546,0,0,0,108.71,2026-04-25 09:44:46
motherduck,Q6_simple,Q6,simple_select,1,3,0.20954,0.211037,0.002933,0.206993,0.21546,0,0,0,108.71,2026-04-25 09:44:46
motherduck,Q6_simple,Q6,simple_select,1,4,0.214915,0.211037,0.002933,0.206993,0.21546,0,0,0,108.71,2026-04-25 09:44:46
motherduck,Q6_simple,Q6,simple_select,1,5,0.211089,0.211037,0.002933,0.206993,0.21546,0,0,0,108.71,2026-04-25 09:44:46
motherduck,Q6_simple,Q6,simple_select,1,6,0.212799,0.211037,0.002933,0.206993,0.21546,0,0,0,108.71,2026-04-25 09:44:46
motherduck,Q6_simple,Q6,simple_select,1,7,0.21546,0.211037,0.002933,0.206993,0.21546,0,0,0,108.71,2026-04-25 09:44:46
motherduck,Q6_simple,Q6,simple_select,1,8,0.213715,0.211037,0.002933,0.206993,0.21546,0,0,0,108.71,2026-04-25 09:44:46
motherduck,Q6_simple,Q6,simple_select,1,9,0.208381,0.211037,0.002933,0.206993,0.21546,0,0,0,108.71,2026-04-25 09:44:46
motherduck,Q6_simple,Q6,simple_select,1,10,0.210316,0.211037,0.002933,0.206993,0.21546,0,0,0,108.71,2026-04-25 09:44:46
motherduck,Q14_simple,Q14,simple_select,1,1,0.225611,0.23039,0.002324,0.225611,0.234607,0,0,0,108.71,2026-04-25 09:45:34
motherduck,Q14_simple,Q14,simple_select,1,2,0.234607,0.23039,0.002324,0.225611,0.234607,0,0,0,108.71,2026-04-25 09:45:34
motherduck,Q14_simple,Q14,simple_select,1,3,0.23163,0.23039,0.002324,0.225611,0.234607,0,0,0,108.71,2026-04-25 09:45:34
motherduck,Q14_simple,Q14,simple_select,1,4,0.229331,0.23039,0.002324,0.225611,0.234607,0,0,0,108.71,2026-04-25 09:45:34
motherduck,Q14_simple,Q14,simple_select,1,5,0.229827,0.23039,0.002324,0.225611,0.234607,0,0,0,108.71,2026-04-25 09:45:34
motherduck,Q14_simple,Q14,simple_select,1,6,0.230395,0.23039,0.002324,0.225611,0.234607,0,0,0,108.71,2026-04-25 09:45:34
motherduck,Q14_simple,Q14,simple_select,1,7,0.23087,0.23039,0.002324,0.225611,0.234607,0,0,0,108.71,2026-04-25 09:45:34
motherduck,Q14_simple,Q14,simple_select,1,8,0.229896,0.23039,0.002324,0.225611,0.234607,0,0,0,108.71,2026-04-25 09:45:34
motherduck,Q14_simple,Q14,simple_select,1,9,0.228687,0.23039,0.002324,0.225611,0.234607,0,0,0,108.71,2026-04-25 09:45:34
motherduck,Q14_simple,Q14,simple_select,1,10,0.233042,0.23039,0.002324,0.225611,0.234607,0,0,0,108.71,2026-04-25 09:45:34
motherduck,Q19_simple,Q19,simple_select,1,1,0.236376,0.228357,0.005287,0.223526,0.239065,0,0,0,108.71,2026-04-25 09:46:21
motherduck,Q19_simple,Q19,simple_select,1,2,0.239065,0.228357,0.005287,0.223526,0.239065,0,0,0,108.71,2026-04-25 09:46:21
motherduck,Q19_simple,Q19,simple_select,1,3,0.225725,0.228357,0.005287,0.223526,0.239065,0,0,0,108.71,2026-04-25 09:46:21
motherduck,Q19_simple,Q19,simple_select,1,4,0.223526,0.228357,0.005287,0.223526,0.239065,0,0,0,108.71,2026-04-25 09:46:21
motherduck,Q19_simple,Q19,simple_select,1,5,0.228541,0.228357,0.005287,0.223526,0.239065,0,0,0,108.71,2026-04-25 09:46:21
motherduck,Q19_simple,Q19,simple_select,1,6,0.231853,0.228357,0.005287,0.223526,0.239065,0,0,0,108.71,2026-04-25 09:46:21
motherduck,Q19_simple,Q19,simple_select,1,7,0.223684,0.228357,0.005287,0.223526,0.239065,0,0,0,108.71,2026-04-25 09:46:21
motherduck,Q19_simple,Q19,simple_select,1,8,0.225325,0.228357,0.005287,0.223526,0.239065,0,0,0,108.71,2026-04-25 09:46:21
motherduck,Q19_simple,Q19,simple_select,1,9,0.224121,0.228357,0.005287,0.223526,0.239065,0,0,0,108.71,2026-04-25 09:46:21
motherduck,Q19_simple,Q19,simple_select,1,10,0.225356,0.228357,0.005287,0.223526,0.239065,0,0,0,108.71,2026-04-25 09:46:21
motherduck,Q3_join,Q3,join,1,1,0.214566,0.217319,0.00403,0.213209,0.226834,0,0,0,108.71,2026-04-25 09:47:09
motherduck,Q3_join,Q3,join,1,2,0.215906,0.217319,0.00403,0.213209,0.226834,0,0,0,108.71,2026-04-25 09:47:09
motherduck,Q3_join,Q3,join,1,3,0.214917,0.217319,0.00403,0.213209,0.226834,0,0,0,108.71,2026-04-25 09:47:09
motherduck,Q3_join,Q3,join,1,4,0.221982,0.217319,0.00403,0.213209,0.226834,0,0,0,108.71,2026-04-25 09:47:09
motherduck,Q3_join,Q3,join,1,5,0.217053,0.217319,0.00403,0.213209,0.226834,0,0,0,108.71,2026-04-25 09:47:09
motherduck,Q3_join,Q3,join,1,6,0.215991,0.217319,0.00403,0.213209,0.226834,0,0,0,108.71,2026-04-25 09:47:09
motherduck,Q3_join,Q3,join,1,7,0.213209,0.217319,0.00403,0.213209,0.226834,0,0,0,108.71,2026-04-25 09:47:09
motherduck,Q3_join,Q3,join,1,8,0.219038,0.217319,0.00403,0.213209,0.226834,0,0,0,108.71,2026-04-25 09:47:09
motherduck,Q3_join,Q3,join,1,9,0.226834,0.217319,0.00403,0.213209,0.226834,0,0,0,108.71,2026-04-25 09:47:09
